"taskOrder"	"JobNo"	"EmpNo"	"TransDate"	"Hours"
"84"	"Bravo"	"Bravo RFS 001"	"544848"	"2018-07"	30
"85"	"Bravo"	"Bravo RFS 001"	"544848"	"2018-08"	70.5
"86"	"Bravo"	"Bravo RFS 001"	"544848"	"2018-10"	44
"87"	"Bravo"	"Bravo RFS 001"	"544848"	"2018-11"	40
"88"	"Bravo"	"Bravo RFS 001"	"544848"	"2018-12"	41
"89"	"Bravo"	"Bravo RFS 001"	"546073"	"2018-02"	2
"90"	"Bravo"	"Bravo RFS 001"	"546073"	"2018-03"	4
"91"	"Bravo"	"Bravo RFS 001"	"546073"	"2018-04"	5
"92"	"Bravo"	"Bravo RFS 001"	"546073"	"2018-05"	7
"93"	"Bravo"	"Bravo RFS 001"	"546073"	"2018-06"	1
"94"	"Bravo"	"Bravo RFS 001"	"546073"	"2018-08"	28
"95"	"Bravo"	"Bravo RFS 001"	"546073"	"2018-09"	15
"96"	"Bravo"	"Bravo RFS 001"	"546073"	"2018-10"	3.5
"97"	"Bravo"	"Bravo RFS 001"	"546073"	"2018-11"	3
"98"	"Bravo"	"Bravo RFS 001"	"547825"	"2018-08"	184
"99"	"Bravo"	"Bravo RFS 001"	"547825"	"2018-09"	152
"100"	"Bravo"	"Bravo RFS 001"	"547825"	"2018-10"	152
"101"	"Bravo"	"Bravo RFS 001"	"547825"	"2018-11"	144
"102"	"Bravo"	"Bravo RFS 001"	"547825"	"2018-12"	133
"103"	"Bravo"	"Bravo RFS 001"	"547825"	"2019-01"	8
"104"	"Bravo"	"Bravo RFS 001"	"553334"	"2018-05"	83
"105"	"Bravo"	"Bravo RFS 001"	"553334"	"2018-06"	103
"106"	"Bravo"	"Bravo RFS 001"	"553334"	"2018-07"	120
"107"	"Bravo"	"Bravo RFS 001"	"553334"	"2018-08"	69.5
"108"	"Bravo"	"Bravo RFS 001"	"554288"	"2018-04"	119
"109"	"Bravo"	"Bravo RFS 001"	"554288"	"2018-05"	178
"110"	"Bravo"	"Bravo RFS 001"	"554288"	"2018-06"	109
"111"	"Bravo"	"Bravo RFS 001"	"554288"	"2018-07"	108
"112"	"Bravo"	"Bravo RFS 001"	"554288"	"2018-08"	120
"113"	"Bravo"	"Bravo RFS 001"	"554288"	"2018-09"	35
"114"	"Bravo"	"Bravo RFS 001"	"554288"	"2018-10"	44
"115"	"Bravo"	"Bravo RFS 001"	"554288"	"2018-11"	29
"116"	"Bravo"	"Bravo RFS 001"	"554288"	"2018-12"	61
"117"	"Bravo"	"Bravo RFS 001"	"554288"	"2019-01"	2
"118"	"Bravo"	"Bravo RFS 001"	"559026"	"2018-05"	88
