"lineID"	"empID"	"hours"	"taskOrder"	"task"	"month"
"47"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"592981"	"16"	"Bravo"	"Y1.RFS001"	"2019-03"
"48"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"544848"	"40"	"Bravo"	"Y1.RFS001"	"2019-03"
"49"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"549592"	"168"	"Bravo"	"Y1.RFS001"	"2019-03"
"50"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"574806"	"18"	"Bravo"	"Y1.RFS001"	"2019-03"
"51"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"554288"	"17"	"Bravo"	"Y1.RFS001"	"2019-03"
"52"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"589525"	"5"	"Bravo"	"Y1.RFS001"	"2019-03"
"53"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"539227"	"10"	"Bravo"	"Y1.RFS001"	"2019-03"
"54"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"565937"	"5"	"Bravo"	"Y1.RFS001"	"2019-03"
"55"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"594822"	"5"	"Bravo"	"Y1.RFS001"	"2019-03"
"56"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"589679"	"5"	"Bravo"	"Y1.RFS001"	"2019-03"
"57"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"595900"	"5"	"Bravo"	"Y1.RFS001"	"2019-03"
"58"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"585923"	"40"	"Bravo"	"Y1.RFS001"	"2019-03"
"59"	"B.Y1.RFS001.Task.3.LB.DEF.B.43543"	"596696"	"17"	"Bravo"	"Y1.RFS001"	"2019-03"
"60"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"524759"	"16"	"Bravo"	"Y1.RFS001"	"2019-04"
"61"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"595312"	"36"	"Bravo"	"Y1.RFS001"	"2019-04"
"62"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"599940"	"18"	"Bravo"	"Y1.RFS001"	"2019-04"
"63"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"560435"	"88"	"Bravo"	"Y1.RFS001"	"2019-04"
"64"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"582013"	"32"	"Bravo"	"Y1.RFS001"	"2019-04"
"65"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"581524"	"18"	"Bravo"	"Y1.RFS001"	"2019-04"
"66"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"600099"	"8"	"Bravo"	"Y1.RFS001"	"2019-04"
"67"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"547825"	"88"	"Bravo"	"Y1.RFS001"	"2019-04"
"68"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"592855"	"88"	"Bravo"	"Y1.RFS001"	"2019-04"
"69"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"580919"	"44"	"Bravo"	"Y1.RFS001"	"2019-04"
"70"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"544094"	"176"	"Bravo"	"Y1.RFS001"	"2019-04"
"71"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"581165"	"5"	"Bravo"	"Y1.RFS001"	"2019-04"
"72"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"577606"	"36"	"Bravo"	"Y1.RFS001"	"2019-04"
"73"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"582041"	"10"	"Bravo"	"Y1.RFS001"	"2019-04"
"74"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"587199"	"32"	"Bravo"	"Y1.RFS001"	"2019-04"
"75"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"592981"	"32"	"Bravo"	"Y1.RFS001"	"2019-04"
"76"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"544848"	"40"	"Bravo"	"Y1.RFS001"	"2019-04"
"77"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"574806"	"36"	"Bravo"	"Y1.RFS001"	"2019-04"
"78"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"554288"	"18"	"Bravo"	"Y1.RFS001"	"2019-04"
"79"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"589525"	"5"	"Bravo"	"Y1.RFS001"	"2019-04"
"80"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"539227"	"10"	"Bravo"	"Y1.RFS001"	"2019-04"
"81"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"565937"	"5"	"Bravo"	"Y1.RFS001"	"2019-04"
"82"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"594822"	"5"	"Bravo"	"Y1.RFS001"	"2019-04"
"83"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"589679"	"5"	"Bravo"	"Y1.RFS001"	"2019-04"
"84"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"595900"	"5"	"Bravo"	"Y1.RFS001"	"2019-04"
"85"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"585923"	"40"	"Bravo"	"Y1.RFS001"	"2019-04"
